STEAM PLANT PRODUCTION														
January-11														
														
DATE	STEAM        (K LB)	FEED      WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	STEAM Boiler #1	HOURS Boiler #2	STEAM Boiler #2	HOURS Boiler #3	STEAM Boiler #3
1	617	765	"3,510"	744	0	"46,576"	10	0	0	0	0	0	24	617
2	609	760	"2,750"	735	0	"71,429"	10	0	0	0	0	0	24	609
3	591	736	"3,130"	704	0	"96,261"	10	0	0	0	0	0	24	591
4	702	871	"3,410"	839	0	"88,623"	20	0	0	0	0	0	24	702
5	563	700	"2,660"	665	0	"106,636"	10	0	0	0	0	0	24	563
6	580	716	"2,520"	669	0	"83,877"	20	0	0	0	0	0	24	580
7	601	740	"2,970"	710	0	"133,877"	20	0	0	0	0	0	24	601
8	638	788	"2,460"	731	0	"65,691"	10	0	0	0	0	0	24	638
9	669	828	"2,250"	795	0	"83,084"	10	0	0	0	0	0	24	669
10	592	733	"2,230"	699	0	"143,858"	20	0	0	0	0	0	24	592
11	547	680	"2,600"	642	0	"96,648"	10	0	0	0	0	0	24	547
12	631	791	"4,380"	745	0	"140,099"	10	0	0	0	0	0	24	631
13	645	807	"3,870"	773	0	"144,996"	20	0	0	0	0	0	24	645
14	598	743	"2,900"	706	0	"84,174"	10	0	0	0	0	0	24	598
15	606	751	"3,680"	717	0	"84,174"	20	0	0	0	0	0	24	606
16	627	775	"2,600"	746	0	"117,480"	10	0	0	0	0	0	24	627
17	548	678	"2,810"	650	0	"78,957"	10	0	0	0	0	0	24	548
18	600	748	"5,690"	716	0	"95,763"	30	0	0	0	0	0	24	600
19	678	818	"4,010"	822	0	"123,769"	0	0	6.5	60	0	0	24	618
20	711	817	"3,130"	863	0	"114,490"	10	0	17	140	0	0	24	571
21	770	821	"3,610"	946	0	"121,153"	20	0	24	354	0	0	24	416
22	704	858	"4,320"	827	0	"85,701"	10	0	2	18	0	0	24	686
23	713	822	"4,520"	856	0	"111,019"	10	0	19	138	0	0	24	575
24	602	751	"4,190"	710	0	"128,102"	10	0	0	0	0	0	24	602
25	585	728	"4,340"	689	0	"118,852"	20	0	0	0	0	0	24	585
26	557	690	"3,140"	660	0	"88,165"	20	0	0	0	0	0	24	557
27	502	620	"3,050"	591	0	"122,083"	10	0	0	0	0	0	24	502
28	471	587	"2,910"	558	0	"81,749"	30	0	0	0	0	0	24	471
29	475	595	"3,650"	562	0	"114,218"	10	0	0	0	0	0	24	475
30	540	668	"3,530"	636	0	"76,694"	10	0	0	0	0	0	24	540
31	544	674	"3,330"	646	0	"130,785"	130	0	0	0	0	0	24	544

February-11														
														
DATE	STEAM        (K LB)	FEED      WATER	MAKE-UP WATER (GAL)	XCEL GAS      (MCF)	OIL          (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)	HOURS Boiler #1	STEAM Boiler #1	HOURS Boiler #2	STEAM Boiler #2	HOURS Boiler #3	STEAM Boiler #3
1	628	775	"4,120"	746	0	"109,122"	20	0	0	0	0	0	24	628
2	707	860	"4,370"	843	0	"111,080"	10	0	4	26	0	0	24	681
3	650	762	"3,950"	774	0	"119,502"	10	0	16	109	0	0	24	541
4	534	660	"3,160"	624	0	"105,199"	20	0	0	0	0	0	24	534
5	506	629	"3,330"	584	0	"134,764"	10	0	0	0	0	0	24	506
6	483	605	"3,510"	562	0	"79,336"	10	0	0	0	0	0	24	483
7	622	771	"5,390"	731	0	"120,267"	10	0	0	0	0	0	24	622
8	736	861	"4,010"	896	0	"98,123"	20	0	15.5	113	0	0	24	623
9	765	899	"4,640"	907	0	"120,078"	10	0	0	115	0	0	24	650
10	724	893	"4,170"	856	0	"103,872"	10	0	0	0	0	0	24	724
11	595	735	"4,140"	700	0	"95,106"	20	0	0	0	0	0	24	595
12	474	589	"5,150"	560	0	"103,212"	10	0	0	0	0	0	24	474
13	398	497	"4,380"	470	0	"102,608"	10	0	0	0	0	0	24	398
14	411	517	"3,800"	484	0	"117,459"	30	0	0	0	0	0	24	411
15	396	485	"2,510"	463	0	"85,900"	0	0	0	0	0	0	24	396
16	370	464	"2,540"	434	0	"81,695"	10	0	0	0	0	0	24	370
17	353	443	"2,060"	422	0	"108,774"	0	0	0	0	0	0	24	353
18	481	599	"3,230"	569	0	"120,965"	30	0	0	0	0	0	24	481
19	487	603	"3,150"	577	0	"83,663"	10	0	0	0	0	0	24	487
